plq,radius.mean,radius.median,radius.getmode,radius.getquant,radius.max,radius.min,radius.st.err,radius.length
NA,NA,NA,NA,NA,NA,NA,NA,NA
45-61,0.598499389286337,0.633397312859885,0.690978886756238,0.767754318618042,0.940499040307102,0.249520153550864,0.0226781813279198,55
45-66,0.631139211922773,0.652591170825336,0.614203454894434,0.72936660268714,0.844529750479846,0.441458733205374,0.0108619254981603,68
45-69,0.691425255546132,0.710172744721689,0.710172744721689,0.840690978886756,1.07485604606526,0.172744721689059,0.0259885152711468,43
45-8,0.940499040307102,0.921305182341651,1.09404990403071,1.09404990403071,1.11324376199616,0.72936660268714,0.0249395486966239,22
45-9,0.383295527249462,0.211132437619962,0.211132437619962,1.00959692898273,1.17082533589251,0.115163147792706,0.0601041879291481,33
45-101,0.804090909090909,0.840909090909091,0.840909090909091,0.979545454545455,1.11363636363636,0.272727272727273,0.0280117105598194,50
45-105,0.941558441558442,0.988636363636364,1.04545454545455,1.075,1.13636363636364,0.590909090909091,0.0258610457691526,28
45-125,0.95602766798419,0.954545454545455,0.954545454545455,1.06818181818182,1.18181818181818,0.409090909090909,0.0199111966025713,46
45-130,0.803977272727273,0.863636363636364,0.886363636363636,0.954545454545455,1.04545454545455,0.25,0.0236143476898838,56
45-150,0.882575757575758,0.897727272727273,0.886363636363636,1.00227272727273,1.04545454545455,0.613636363636364,0.0213279603105974,30
45-30,0.623701298701299,0.659090909090909,0.681818181818182,0.772727272727273,0.886363636363636,0.204545454545455,0.0179868838842388,70
45-33,0.812152133580705,0.818181818181818,0.818181818181818,0.981818181818182,1.25,0.25,0.0263415515087791,49
45-35,0.898936170212766,0.931818181818182,1.02272727272727,1.09090909090909,1.38636363636364,0.340909090909091,0.0286414766797532,47
45-38,0.428321678321678,0.431818181818182,0.431818181818182,0.522727272727273,1.04545454545455,0.227272727272727,0.0243635379060908,39
45-70,0.877435064935065,0.931818181818182,1.02272727272727,1.03636363636364,1.27272727272727,0.454545454545455,0.0364698141293387,28
G4new-20,0.647567567567568,0.675675675675676,0.756756756756757,0.772972972972973,0.864864864864865,0.297297297297297,0.0276715931673579,25
G4new-22,0.505630630630631,0.540540540540541,0.594594594594595,0.648648648648649,0.702702702702703,0.162162162162162,0.0188715955225333,48
G4new-25,0.691745799853908,0.72972972972973,0.72972972972973,0.837837837837838,0.918918918918919,0.162162162162162,0.0264208347134667,37
G4new-8,0.816743572841134,0.864864864864865,0.864864864864865,0.972972972972973,1.02702702702703,0.405405405405405,0.0202760307157038,41
G4new-16,0.693984962406015,0.742857142857143,0.8,0.865714285714286,0.914285714285714,0.142857142857143,0.0309309760921343,38
G4new-17,0.764648910411622,0.8,0.714285714285714,0.914285714285714,1.08571428571429,0.171428571428571,0.0216820221352956,59
G4new-31,0.536507936507936,0.571428571428571,0.628571428571429,0.657142857142857,0.714285714285714,0.171428571428571,0.0184514693563711,45
G4new-38,0.764285714285714,0.814285714285714,0.914285714285714,0.931428571428571,1,0.257142857142857,0.0346087390728671,28
G4new-5,0.779802955665025,0.828571428571429,0.828571428571429,1.06571428571429,1.54285714285714,0.142857142857143,0.0388610813880477,58
G4new-61,0.716862846772103,0.763157894736842,0.857142857142857,0.885714285714286,1,0.142857142857143,0.013938773259405,145
G4new-64,0.595383620341176,0.628571428571429,0.714285714285714,0.771428571428571,0.885714285714286,0.131578947368421,0.0163414003232015,93
G4new-67,0.767064983888292,0.789473684210526,0.763157894736842,0.969022556390978,1.05714285714286,0.157894736842105,0.0167566793181449,112
G4new-35,0.632228719948018,0.684210526315789,0.736842105263158,0.763157894736842,0.947368421052632,0.131578947368421,0.0170682066533949,81
G4new-39,0.612105263157895,0.631578947368421,0.578947368421053,0.763157894736842,0.842105263157895,0.131578947368421,0.019989397381822,50
G4new-42,0.476884779516358,0.526315789473684,0.552631578947368,0.631578947368421,0.710526315789474,0.131578947368421,0.0171784054876645,74
G4new-58,0.739035087719298,0.763157894736842,0.684210526315789,0.902631578947368,1.02631578947368,0.263157894736842,0.0227204439793483,48
G4new-74,0.815252416756176,0.842105263157895,0.921052631578947,0.973684210526316,1.07894736842105,0.210526315789474,0.0248600416939632,49
G4new-94,0.747368421052632,0.789473684210526,0.736842105263158,0.936842105263158,1.05263157894737,0.236842105263158,0.0231036207720795,55
G4new-23,0.745073891625616,0.857142857142857,0.928571428571429,0.952380952380952,1.07142857142857,0.119047619047619,0.0346951184379568,58
G4new-55,0.777628032345013,0.833333333333333,0.904761904761905,0.952380952380952,1.04761904761905,0.214285714285714,0.0260136671992969,53
72-1,0.643518518518518,0.666666666666667,0.722222222222222,0.75,0.888888888888889,0.25,0.0152883554472212,60
72-11,0.36437908496732,0.361111111111111,0.361111111111111,0.416666666666667,0.472222222222222,0.25,0.00899030347675223,34
72-12,0.835249042145594,0.888888888888889,0.972222222222222,1,1.05555555555556,0.305555555555556,0.0226893300454334,58
72-16,0.848611111111111,0.888888888888889,0.888888888888889,0.972222222222222,1.02777777777778,0.527777777777778,0.0200641480752786,40
72-20,0.593869731800766,0.611111111111111,0.611111111111111,0.675,0.777777777777778,0.361111111111111,0.0112850948282992,58
72-3,0.344444444444444,0.361111111111111,0.361111111111111,0.391666666666667,0.416666666666667,0.25,0.0112923810042851,20
72-9,0.860119047619048,0.888888888888889,0.944444444444444,0.972222222222222,1.22222222222222,0.333333333333333,0.018687121140773,56
72-15,0.822916666666667,0.891304347826087,1.04347826086957,1.04347826086957,1.06521739130435,0.239130434782609,0.033219618838534,48
72-19,0.73731884057971,0.815217391304348,1,1,1.02173913043478,0.152173913043478,0.0354575362980342,48
72-35,0.740835464620631,0.804347826086957,0.804347826086957,0.934782608695652,1.02173913043478,0.173913043478261,0.0303606644521874,51
72-58,0.395256916996047,0.41304347826087,0.434782608695652,0.497826086956522,0.543478260869565,0.217391304347826,0.0199548363023653,22
72-62,0.720885093167702,0.804347826086957,0.91304347826087,0.967391304347826,1.06521739130435,0.152173913043478,0.0346782418618836,56
72-22,0.525094696969697,0.520833333333333,0.520833333333333,0.68125,1.02083333333333,0.208333333333333,0.0248558832906667,44
72-5,0.742283950617284,0.854166666666667,0.979166666666667,1.05625,1.14583333333333,0.166666666666667,0.038168811264985,54
72-76,0.76161858974359,0.8125,0.8125,0.979166666666667,1.10416666666667,0.145833333333333,0.0317792530792085,52
G72-157,0.839323467230444,0.890909090909091,0.872727272727273,1.05454545454545,1.10909090909091,0.290909090909091,0.0343333883758154,43
G74-17_TCA_S,0.866666666666667,0.877551020408163,0.877551020408163,1.08163265306122,1.26530612244898,0.510204081632653,0.0233671073578381,60
G74-25_AGT_S,0.844201095072175,0.918367346938776,1,1.08163265306122,1.10204081632653,0.244897959183673,0.0354036558653289,41
G74-41_ACG_T,0.659119897959184,0.693877551020408,0.693877551020408,0.86530612244898,1.16326530612245,0.26530612244898,0.0228517611084085,64
G74-45_AGC_S,0.89265306122449,0.897959183673469,0.877551020408163,1.10204081632653,1.3469387755102,0.428571428571429,0.025734111077832,50
G74-19_ACA_T,0.68986568986569,0.692307692307692,0.576923076923077,0.876923076923077,0.923076923076923,0.384615384615385,0.0183772754670906,63
G74-23_ACC_T,0.630769230769231,0.673076923076923,0.769230769230769,0.846153846153846,0.923076923076923,0.230769230769231,0.0248890158440376,60
G74-24_ACT_T,0.553613053613054,0.576923076923077,0.5,0.769230769230769,0.846153846153846,0.230769230769231,0.0279553296117798,33
G74-32_TCC_S,0.749607535321821,0.730769230769231,0.615384615384615,1,1.07692307692308,0.384615384615385,0.024524070663076,49
G74-33_TCT_S,0.768772893772894,0.769230769230769,0.730769230769231,0.923076923076923,1.03846153846154,0.384615384615385,0.0145734514679949,84
G74-8_TCG_S,0.811355311355311,0.846153846153846,0.884615384615385,0.992307692307692,1.23076923076923,0.346153846153846,0.022336960256852,63
G8-205,0.439912280701754,0.375,0.35,0.76,0.925,0.125,0.0259066460819736,57
G8-224,0.458455882352941,0.4875,0.625,0.65,0.925,0.125,0.0228174266248476,68
G8-82,0.675,0.725,0.825,0.925,1.425,0.15,0.0306542870523083,66
G8-116_CAA_Q,0.755408653846154,0.75,0.75,1.025,1.25,0.3125,0.0252649217710783,52
G8-12_TCC_S,0.822115384615385,0.84375,0.875,1,1.25,0.3125,0.021482168559373,65
G8-13_ACA_T,0.890368852459016,0.9375,0.96875,1.0625,1.21875,0.1875,0.022546804390026,61
G8-15_ACT_T,0.790064102564103,0.78125,0.96875,1.0375,1.09375,0.1875,0.0333897322106802,39
G8-16_TCA_S,0.733653846153846,0.75,0.75,0.90625,1.03125,0.34375,0.0182719981456656,65
G8-18_TCT_S,0.85646186440678,0.875,0.875,1.0375,1.375,0.28125,0.0245051505618812,59
G8-23_CCC_P,0.828663793103448,0.875,0.96875,1.00625,1.15625,0.125,0.0399828670894554,29
G8-3_TGC_C,0.835181451612903,0.8125,0.8125,1.09375,1.15625,0.21875,0.0269860855951869,62
G8-42_TTT_F,0.481907894736842,0.46875,0.46875,0.71875,0.75,0.15625,0.0275310077045632,38
G8-44_TGT_C,0.891581632653061,0.9375,0.9375,1.0625,1.15625,0.25,0.0252225894231019,49
G8-48_TTC_F,0.631696428571429,0.625,0.625,0.840625,1.0625,0.1875,0.0370507823900935,28
G8-67_GCT_A,0.559413580246914,0.5625,0.46875,0.71875,1.03125,0.1875,0.0155341197546799,81
G8-73_AGC_S,0.855587121212121,0.875,0.875,1.0625,1.125,0.1875,0.0240245785738978,66
G8-84_TCG_S,0.501875,0.53125,0.625,0.625,0.75,0.1875,0.012600761811586,100
G8-86_CTA_L,0.701822916666667,0.71875,0.6875,0.853125,1.0625,0.34375,0.0196270552159565,48
G8-91_CTT_L,0.783143939393939,0.78125,0.71875,0.9375,1,0.46875,0.0234351085403744,33
G8-95_CTC_L,0.7234375,0.734375,0.8125,0.875,1,0.25,0.0221974291614638,40
G8-1_GCC_A,0.729422784217305,0.799086757990867,0.799086757990867,0.93607305936073,1.00456621004566,0.136986301369863,0.0326233750797164,39
